constructorStandingsId;points;position;positionText;wins;constructorId;raceId
79;23.0;5;5;0;7;25
80;24.0;4;4;0;9;25
81;8.0;8;8;0;11;25
82;0.0;10;10;0;10;25
83;0.0;11;11;0;8;25
84;72.0;3;3;3;1;26
85;82.0;2;2;1;2;26
86;16.0;6;6;0;3;26
87;15.0;7;7;0;4;26
88;7.0;9;9;0;5;26
89;96.0;1;1;5;6;26
90;25.0;4;4;0;7;26
91;24.0;5;5;0;9;26
92;14.0;8;8;0;11;26
93;0.0;10;10;0;10;26
94;0.0;11;11;0;8;26
95;86.0;3;3;4;1;27
96;89.0;2;2;1;2;27
97;16.0;7;7;0;3;27
98;23.0;6;6;0;4;27
99;8.0;9;9;0;5;27
100;105.0;1;1;5;6;27
101;25.0;4;4;0;7;27
102;24.0;5;5;0;9;27
103;14.0;8;8;0;11;27
104;0.0;10;10;0;10;27
105;0.0;11;11;0;8;27
106;100.0;2;2;5;1;28
107;90.0;3;3;1;2;28
108;16.0;7;7;0;3;28
109;31.0;5;5;0;4;28
110;8.0;9;9;0;5;28
111;111.0;1;1;5;6;28
112;35.0;4;4;0;7;28
113;24.0;6;6;0;9;28
114;14.0;8;8;0;11;28
115;0.0;10;10;0;10;28
116;0.0;11;11;0;8;28
117;113.0;2;2;5;1;29
118;96.0;3;3;1;2;29
119;17.0;7;7;0;3;29
120;31.0;5;5;0;4;29
121;11.0;9;9;0;5;29
122;121.0;1;1;6;6;29
123;41.0;4;4;0;7;29
124;24.0;6;6;0;9;29
125;14.0;8;8;0;11;29
126;0.0;10;10;0;10;29
127;0.0;11;11;0;8;29
128;119.0;2;2;5;1;30
129;107.0;3;3;1;2;30
130;17.0;7;7;0;3;30
131;36.0;5;5;0;4;30
132;17.0;8;8;0;5;30
133;131.0;1;1;7;6;30
134;41.0;4;4;0;7;30
135;25.0;6;6;0;9;30
136;14.0;9;9;0;11;30
137;0.0;10;10;0;10;30
138;0.0;11;11;0;8;30
139;129.0;2;2;5;1;31
140;117.0;3;3;1;2;31
141;17.0;8;8;0;3;31
142;41.0;5;5;0;4;31
143;27.0;6;6;1;5;31
144;134.0;1;1;7;6;31
145;41.0;4;4;0;7;31
146;26.0;7;7;0;9;31
147;14.0;9;9;0;11;31
148;0.0;10;10;0;10;31
149;0.0;11;11;0;8;31
150;135.0;1;1;5;1;32
151;120.0;3;3;1;2;32
152;26.0;8;8;0;3;32
153;51.0;4;4;1;4;32
154;31.0;6;6;1;5;32
155;134.0;2;2;7;6;32
156;46.0;5;5;0;7;32
157;28.0;7;7;0;9;32
158;14.0;9;9;0;11;32
159;0.0;10;10;0;10;32
160;0.0;11;11;0;8;32
161;135.0;2;2;5;1;33
162;128.0;3;3;1;2;33
163;26.0;8;8;0;3;33
164;66.0;4;4;2;4;33
165;34.0;6;6;1;5;33
166;142.0;1;1;7;6;33
167;50.0;5;5;0;7;33
168;29.0;7;7;0;9;33
169;14.0;9;9;0;11;33
170;0.0;10;10;0;10;33
171;0.0;11;11;0;8;33
1643;0.0;11;11;0;8;34
1642;0.0;10;10;0;10;34
1641;14.0;9;9;0;11;34
1640;29.0;7;7;0;9;34
1639;52.0;5;5;0;7;34
1638;156.0;1;1;7;6;34
1637;34.0;6;6;1;5;34
1636;72.0;4;4;2;4;34
1635;26.0;8;8;0;3;34
1634;135.0;3;3;1;2;34
1633;145.0;2;2;6;1;34
183;151.0;2;2;6;1;35
184;135.0;3;3;1;2;35
185;26.0;8;8;0;3;35
186;80.0;4;4;2;4;35
187;39.0;6;6;1;5;35
188;172.0;1;1;8;6;35
189;56.0;5;5;0;7;35
190;29.0;7;7;0;9;35
191;14.0;9;9;0;11;35
192;0.0;10;10;0;10;35
193;0.0;11;11;0;8;35
25742;0.0;9;9;0;5;36
25741;0.0;8;8;0;9;36
25740;0.0;7;7;0;8;36
25739;0.0;6;6;0;11;36
